hour_bj_str,type,mod,tag,avg_value,max_value,min_value,median_value,sample_count,host_count
2026-07-01 00:00:00,disk,sda_avgrq,disk_other_metric,744.99,744.99,744.99,744.99,1,1
2026-07-01 00:00:00,disk,sda_await,disk_latency_ms,15.415000000000001,20.12,10.71,15.415000000000001,2,2
2026-07-01 00:00:00,disk,sda_util,disk_util_percent,88.47,88.47,88.47,88.47,1,1
2026-07-01 00:00:00,disk,sda_write,disk_rw_sectors,261200.0,280043.0,242357.0,261200.0,2,2
2026-07-01 00:00:00,disk,sdb_avgrq,disk_other_metric,747.01,747.01,747.01,747.01,1,1
2026-07-01 00:00:00,disk,sdc_avgrq,disk_other_metric,989.52,989.52,989.52,989.52,1,1
2026-07-01 00:00:00,disk,sdd_rqm,disk_rqm_per_sec,114.52,114.52,114.52,114.52,1,1
2026-07-01 00:00:00,disk,sdd_write,disk_rw_sectors,478746.0,478746.0,478746.0,478746.0,1,1
2026-07-01 00:00:00,disk,sde_read,disk_rw_sectors,138873.0,138873.0,138873.0,138873.0,1,1
2026-07-01 00:00:00,disk,sde_write,disk_rw_sectors,358935.0,358935.0,358935.0,358935.0,1,1
2026-07-01 00:00:00,pref,cpu_idle,cpu_percent,67.789,92.42,23.68,69.555,20,20
2026-07-01 00:00:00,pref,cpu_sys,cpu_percent,21.855,46.96,2.91,14.125,20,20
2026-07-01 00:00:00,pref,cpu_usage,cpu_percent,38.783,69.93,5.52,44.435,20,20
2026-07-01 00:00:00,pref,cpu_user,cpu_percent,18.700499999999998,46.05,1.77,16.58,20,20
2026-07-01 00:00:00,pref,cpu_wait,cpu_percent,15.842500000000001,49.92,0.49,11.535,20,20
2026-07-01 00:00:00,pref,load1,load_average,15.434000000000001,31.89,1.13,14.245000000000001,20,20
2026-07-01 00:00:00,pref,load15,load_average,15.744499999999999,31.43,2.47,14.52,20,20
2026-07-01 00:00:00,pref,load5,load_average,16.756999999999998,30.99,3.6,13.594999999999999,20,20
2026-07-01 00:00:00,pref,mem_buff,mem_metric,49586.35,97631.0,6176.0,49081.0,20,20
2026-07-01 00:00:00,pref,mem_cache,mem_metric,81592.3,130246.0,10621.0,86681.5,20,20
2026-07-01 00:00:00,pref,mem_free,mem_metric,72108.6,128824.0,5431.0,77057.0,20,20
2026-07-01 00:00:00,pref,mem_swap,mem_metric,60055.1,128404.0,3599.0,55075.5,20,20
2026-07-01 00:00:00,pref,mem_used,mem_metric,60036.7,122260.0,2577.0,56841.0,20,20
2026-07-01 00:00:00,pref,net_in,net_speed_mb,531.2864999999999,991.8,107.24,530.5,20,20
2026-07-01 00:00:00,pref,net_out,net_speed_mb,469.37749999999994,981.13,2.46,447.27,20,20
2026-07-01 00:00:00,pref,net_pktin,net_packets,49024.6,99222.0,3369.0,43506.0,20,20
2026-07-01 00:00:00,pref,net_pktout,net_packets,56869.7,98572.0,1877.0,65452.0,20,20
2026-07-01 00:00:00,pref,proc_block,proc_count,274.0,497.0,49.0,263.5,20,20
2026-07-01 00:00:00,pref,proc_run,proc_count,219.15,500.0,1.0,156.0,20,20
2026-07-01 00:00:00,pref,proc_total,proc_count,236.95,492.0,7.0,217.0,20,20
2026-07-01 01:00:00,disk,sda_rqm,disk_rqm_per_sec,340.14,340.14,340.14,340.14,1,1
2026-07-01 01:00:00,disk,sda_util,disk_util_percent,36.2,36.2,36.2,36.2,1,1
2026-07-01 01:00:00,disk,sda_write,disk_rw_sectors,237881.0,237881.0,237881.0,237881.0,1,1
2026-07-01 01:00:00,disk,sdb_avgrq,disk_other_metric,971.89,971.89,971.89,971.89,1,1
2026-07-01 01:00:00,disk,sdc_read,disk_rw_sectors,117005.0,153878.0,80132.0,117005.0,2,2
2026-07-01 01:00:00,disk,sdc_svctm,disk_latency_ms,35.185,45.64,24.73,35.185,2,2
2026-07-01 01:00:00,disk,sdc_util,disk_util_percent,59.64,59.64,59.64,59.64,1,1
2026-07-01 01:00:00,disk,sdd_svctm,disk_latency_ms,12.65,12.65,12.65,12.65,1,1
2026-07-01 01:00:00,disk,sde_await,disk_latency_ms,29.83,29.83,29.83,29.83,1,1
2026-07-01 01:00:00,disk,sde_svctm,disk_latency_ms,37.57,37.57,37.57,37.57,1,1
2026-07-01 01:00:00,pref,cpu_idle,cpu_percent,51.589,93.71,20.4,56.36,20,20
2026-07-01 01:00:00,pref,cpu_sys,cpu_percent,23.4255,48.58,0.06,21.82,20,20
2026-07-01 01:00:00,pref,cpu_usage,cpu_percent,38.0805,79.52,5.85,39.35,20,20
2026-07-01 01:00:00,pref,cpu_user,cpu_percent,33.2455,48.32,6.29,40.465,20,20
2026-07-01 01:00:00,pref,cpu_wait,cpu_percent,27.274,49.2,0.3,27.9,20,20
2026-07-01 01:00:00,pref,load1,load_average,21.2025,31.24,3.16,21.9,20,20
